id_alumno;nombre_alumno;apellido_alumno;direccion;ciudad;email;curso;edad
1;Carol;Bliss;188 Seashore Street NW;Mesquite;lowlynail@aol.com;wordpress;45
2;Malia;Ting;1479 Salt Boulevard;Waterbury;jean@hotmail.com;marketing;13
3;Annabelle;Esposito;954 Crack Ln;Antioch;feignedsubstance@outlook.com;ecommerce;30
4;Easton;Norwich;7694 Floor Boulevard NE;Santa Rosa;creepypaint@aol.com;marketing;40
5;Owen;Hanna;4556 Shape Boulevard;Amarillo;ubiquitous.minute@hotmail.com;wordpress;10
6;Rodney;Olofsson;731 Wheel Ln;Lansing;irritatingbook@gmail.com;marketing;61
7;Kathy;Adolphus;8904 Holiday Ave;West Jordan;lowlyanimal@hotmail.com;ecommerce;44
8;Nicolas;Girdwood;9014 Cow Ave;Cape Coral;mountainousparcel@outlook.com;marketing;14
9;Alijah;Nisbett;739 Sneeze Ave W;Oakland;book64@gmail.com;wordpress;74
10;Tate;Chadsey;7067 Coil Blvd SW;West Covina;soap25@aol.com;marketing;27
11;Cason;Molina;115 Weather Ln S;Ann Arbor;stitch@outlook.com;ecommerce;79
12;Magdalena;Giffard;920 Cat St NW;San Francisco;hanging.sort@hotmail.com;marketing;80
13;Jarred;Tefft;7621 Flesh Lane;Costa Mesa;old-fashionedbite@aol.com;wordpress;20
14;Thalia;Goring;860 Suggestion St E;Visalia;raspy.tomato@outlook.com;marketing;16
15;Keyla;Kristiansen;815 Hobby Blvd NW;Des Moines;spy@outlook.com;ecommerce;89
16;Arely;Stanhope;4126 Goat Ln;Burbank;steady.trail@gmail.com;marketing;37
17;Kian;Ferrers;6291 Receipt Ave;Wichita;tendency54@aol.com;wordpress;81
18;Mitchell;Plympton;38 Servant Ln;Greeley;nippypartner@gmail.com;marketing;48
19;Jarvis;Hogan;975 Oatmeal Boulevard S;Vancouver;pest@business.com;ecommerce;29
20;Kate;Atherton;648 Partner Boulevard S;Davenport;unhealthy.low@aol.com;marketing;68
21;Gisselle;Armitage;895 Church Ln N;Milwaukee;country37@aol.com;wordpress;81
22;Brandi;Mayo;9352 Drink Avenue;Cedar Rapids;memory@hotmail.com;marketing;90
23;Anna;Kristiansen;6778 Canvas St NE;Houston;romanticbrass@aol.com;ecommerce;93
24;Viviana;Foss;9692 Calculator Ln;Woodbridge;line@gmail.com;marketing;98
25;Bradyn;Cross;2874 Jean Blvd NW;El Cajon;night@outlook.com;wordpress;47
26;Khloe;Scarret;7183 Seashore Avenue N;Dallas;serious.trade@design.com;marketing;17
27;Ismael;Morley;1184 Straw Boulevard NE;Cleveland;gentletoe@outlook.com;ecommerce;19
28;Charlize;Tournay;4401 Reading Ave E;Charleston;marble@hotmail.com;marketing;17
29;Nicolas;Thurston;167 Zebra Ln;Naperville;ship@outlook.com;wordpress;87
30;Killian;Bodley;3817 Shock St W;Cambridge;degree81@gmail.com;marketing;96
31;Malcolm;L‚vesque;891 Pest Boulevard SE;Atlanta;rabbit@rain.biz;ecommerce;43
32;Maverick;Chatsey;451 News Ave;Las Vegas;adamantstocking6@hotmail.com;marketing;36
33;Nathaniel;Fulke;984 Manager Avenue;Lafayette;business@adjustment.com;wordpress;22
34;Vesper;Oxford;8696 Ring Avenue;Rochester;dispensablesea@gmail.com;marketing;38
35;Raegan;Ferrari;3449 Arm Lane;Olathe;nearquiet@aol.com;ecommerce;77
36;Margarita;Bravo;2360 Jam Blvd;Wilmington;conscious.drain@aol.com;marketing;18
37;Isaak;Harleigh;533 Fireman Lane S;Waco;mass56@account.com;wordpress;62
38;Ashley;Contin;7299 Squirrel St;Cary;deeply.rail@zoo.com;marketing;64
39;Reyna;Campbell;945 Paste Blvd;Norfolk;tomato40@weight.net;ecommerce;16
40;Jenny;Rossi;2771 Crime Street SW;Roseville;stamp@hotmail.com;marketing;69
41;Zackary;Poblete;9333 Lawyer Blvd;Elizabeth;trouser26@gmail.com;wordpress;55
42;Annaliese;Murray;92 Sense St;Everett;treatment17@hotmail.com;marketing;19
43;Cecilia;Conway;826 Store Lane N;Indianapolis;bizarre.cheese@hotmail.com;ecommerce;62
44;Nicole;Contreras;795 Seed Ave;San Mateo;outstanding.slope@outlook.com;marketing;21
45;Cason;Alvord;1660 Sound Blvd SW;High Point;succinctloss32@outlook.com;wordpress;89
46;Tyrese;Black;967 Title Avenue;Pittsburgh;fascinatedbeam@aol.com;marketing;26
47;Jagger;Balcombe;5742 Boot Blvd NE;Providence;nebulous.produce@outlook.com;ecommerce;83
48;Carli;Morrison;4986 Hose Avenue;Sunnyvale;ritzybrake83@aol.com;marketing;90
49;Kevin;Flint;3515 Crack Ln;Lubbock;outrageous.tray@outlook.com;wordpress;56
50;Maureen;Ricard;2445 Fan Boulevard;Akron;air@hotmail.com;marketing;40
51;Landyn;Hartwell;2408 Caption Ave;San Mateo;sore.face@aol.com;ecommerce;63
52;Gerardo;Riddell;576 Mandarin Orange Ln;Las Cruces;wisewire@turn.com;marketing;32
53;Jaquan;Reese;1108 Cobweb Avenue;Oxnard;colorful.weight@aol.com;No;26
54;Ethan;Helling;363 Cup Street E;Dallas;goose60@hotmail.com;wordpress;93
55;Simon;Birney;464 Degree Blvd N;Fort Wayne;momentousparcel@outlook.com;marketing;91
56;Jaslene;Godard;442 Iron Lane;Tucson;shame@rub.net;ecommerce;87
57;India;Barros;112 Camera Boulevard S;Port St. Lucie;fixedspace@gmail.com;marketing;36
58;Jerry;Ashford;9862 Wind Lane;West Valley City;flagrantmotion@outlook.com;wordpress;18
59;Darnell;Carter;1976 Fruit Blvd;Mesa;perfectdivision@gmail.com;marketing;65
60;Anita;Danford;279 Substance St SW;Fairfield;jar@gmail.com;ecommerce;71
61;Shania;Far¡as;314 Writer Avenue SW;Winston?Salem;panickyneck72@outlook.com;marketing;85
62;Uma;Barnes;751 Skate Lane;Kansas City;song@outlook.com;wordpress;77
63;Jalyn;Clay;3565 Curtain Street;Santa Maria;hushedaftermath36@outlook.com;marketing;74
64;Alia;Nance;4835 Example Blvd;Montgomery;stitch@quiver.com;ecommerce;33
65;Juan;Fanshaw;8311 Team Boulevard;Independence;flowerygoat56@outlook.com;marketing;15
66;Jada;Randal;323 Metal Blvd;Pittsburgh;materialisticdevelopment@hotmail.com;wordpress;13
67;Deja;Gray;2454 Force Ln S;Gainesville;lewdlock@outlook.com;marketing;92
68;Ronnie;Kelso;596 Surprise Blvd SW;Allen;parsimonious.wealth@gmail.com;ecommerce;18
69;Kadence;Bostwick;658 Cover Ln SW;Fresno;journey80@outlook.com;marketing;82
70;Enrique;Svendsen;588 Flame Street NW;Vancouver;normal.mother@hotmail.com;wordpress;99
71;Areli;G¢mez;143 Box Street;Orange;festivedinner@cemetery.net;marketing;17
72;Jermaine;Phillips;3328 Screw Ave;Louisville;proudloss18@aol.com;ecommerce;11
73;Clarence;Gihon;196 Plate Avenue E;North Charleston;egg89@gmail.com;marketing;78
74;Ali;Hippisley;7567 Exchange Street S;Costa Mesa;obedientpollution9@aol.com;wordpress;62
75;Freddy;Linn;61 Brothers Avenue;Lubbock;engine@outlook.com;marketing;24
76;Leah;Fotheringham;18 Arch Boulevard;Clarksville;family49@hotmail.com;ecommerce;46
77;Kristen;Fulham;635 Join Avenue NE;Port St. Lucie;delightfulmouth@outlook.com;marketing;32
78;Piper;Tremblay;408 Lamp Avenue;Arlington;itchyapricot75@gmail.com;wordpress;57
79;Kathy;Livingstone;293 Secretary Ave NE;Memphis;chance@birds.com;marketing;17
80;Shayla;Botolph;765 Whip Boulevard NE;Norwalk;abrasiveeye@lift.net;ecommerce;35
81;Jordy;Leycester;697 Cattle Ln;Springfield;divergentwindow@station.net;marketing;86
82;Juilet;Glentworth;640 Desire Lane;Fort Lauderdale;cuteinsurance@hotmail.com;wordpress;42
83;Salma;Pleasants;480 Aftermath Blvd;Fontana;superficialsock15@hotmail.com;marketing;99
84;Lana;Trevelyan;656 Home Ln;Huntsville;tramp@gmail.com;ecommerce;87
85;Bryanna;McLean;9382 Pin Ln SW;Peoria;open.wall@hotmail.com;marketing;54
86;Karson;Kirkpatrick;387 Work Ave;Saint Paul;excellent.prose@aol.com;wordpress;26
87;Stephon;Guerrero;645 Avocado Lane;McKinney;payment82@aol.com;marketing;58
88;Kinsey;Bernard;1475 Window Ave SW;Tallahassee;material.memory@crush.biz;ecommerce;44
89;Helena;Ives;4563 Reaction Avenue;Knoxville;dashingway@gmail.com;marketing;10
90;Hildegard;Ingleby;7518 Note Avenue;Norfolk;basket@outlook.com;ecommerce;25
